127.0.0.1 - - [19/Sep/2018:09:52:02 -0700] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:04 -0700] "GET /SRMS/ HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/css/all.css HTTP/1.1" 200 60985
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/css/mycss.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/css/login.css HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/js/jquerylib.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/css/bootstrap.css HTTP/1.1" 200 173597
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/css/animate.css HTTP/1.1" 200 77748
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/images/book-logo.png HTTP/1.1" 200 28153
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/js/bootstrap.js HTTP/1.1" 200 123765
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 62472
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:05 -0700] "GET /SRMS/resources/images/login_background.jpg HTTP/1.1" 200 291319
0:0:0:0:0:0:0:1 - - [19/Sep/2018:09:52:38 -0700] "POST /SRMS/loginOnUserName HTTP/1.1" 302 -
